,UniProt ID,Synonyms
600,P50336,"['protoporphyrinogen oxidase', 'VP', 'Protoporphyrinogen oxidase', 'PPOX', 'PPO', 'V290M', 'EC 1.3.3.4']"
601,P28288,"['ABCD3', 'PXMP1', 'ZWS2', 'ABC43', 'ATP-binding cassette sub-family D member 3', 'ATP binding cassette subfamily D member 3', 'PMP70', '70 kDa peroxisomal membrane protein', 'CBAS5']"
602,Q9NTG7,"['sirtuin 3', 'NAD-dependent protein deacetylase sirtuin-3, mitochondrial', 'SIR2L3', 'SIRT3', 'hSIRT3', 'SIR2-like protein 3', 'Regulatory protein SIR2 homolog 3', 'EC 2.3.1.286']"
603,Q86WU2,"['lactate dehydrogenase D', 'EC 1.1.2.4', 'DLACD', 'DLD', 'Lactate dehydrogenase D', 'LDHD', 'Probable D-lactate dehydrogenase, mitochondrial']"
604,B4DEF8,"['mitochondrial ribosomal protein L45', 'cDNA FLJ61100, highly similar to 39S ribosomal protein L45, mitochondrial', 'MRPL45', 'L45mt', 'MRP-L45']"
605,Q9H3J6,"['SPG55', 'COXPD7', 'chromosome 12 open reading frame 65', 'C12orf65', 'Mitochondrial translation release factor in rescue']"
606,Q96LU5,"['EC 3.4.21.-', 'inner mitochondrial membrane peptidase subunit 1', 'IMP1-LIKE', 'IMMP1L', 'IMMP1', 'IMP1', 'Mitochondrial inner membrane protease subunit 1', 'IMP1-like protein']"
607,P54098,"['SANDO', 'POLGA', 'MTDPS4B', 'POLG1', 'POLG', 'PEO', 'DNA polymerase gamma, catalytic subunit', 'PolG-alpha', 'MIRAS', 'SCAE', 'MDP1', 'EC 2.7.7.7', 'MTDPS4A', 'Mitochondrial DNA polymerase catalytic subunit', 'DNA polymerase subunit gamma-1']"
608,Q5TC12,"['ATP synthase mitochondrial F1 complex assembly factor 1', 'ATPAF1', 'ATP11p', 'ATP11', 'ATP11 homolog']"
609,P78537,"['Protein RT14', 'BLOC1S1', 'BORCS1', 'RT14', 'BLOS1', 'biogenesis of lysosomal organelles complex 1 subunit 1', 'GCN5-like protein 1', 'GCN5L1', 'Biogenesis of lysosome-related organelles complex 1 subunit 1', 'BLOC-1 subunit 1', 'MICoA']"
610,Q3SY69,"['ALDH1L2', 'mtFDH', 'Mitochondrial 10-FTHFDH', 'EC 1.5.1.6', 'Aldehyde dehydrogenase family 1 member L2', 'aldehyde dehydrogenase 1 family member L2', 'Mitochondrial 10-formyltetrahydrofolate dehydrogenase']"
611,Q8N8Q8,"['COX18Hs', 'COX18', 'cytochrome c oxidase assembly factor COX18', 'COX18HS', 'Cytochrome c oxidase assembly protein 18', 'Cytochrome c oxidase assembly protein COX18, mitochondrial']"
612,P36551,"['CPX', 'Coproporphyrinogenase', 'HARPO', 'CPOX', 'EC 1.3.3.3', 'Coprogen oxidase', 'HCP', 'Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial', 'COX', 'coproporphyrinogen oxidase', 'CPO']"
613,Q13423,"['GCCD4', 'nicotinamide nucleotide transhydrogenase', 'EC 7.1.1.1', 'Nicotinamide nucleotide transhydrogenase', 'NNT', 'NAD(P) transhydrogenase, mitochondrial', 'Pyridine nucleotide transhydrogenase']"
614,A1L188,"['NDUFAF8', 'MC1DN34', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8', 'NADH:ubiquinone oxidoreductase complex assembly factor 8', 'C17orf89']"
615,Q9Y6H3,"['XRCC6BP1', 'EC 3.4.24.-', 'ATP23', 'Mitochondrial inner membrane protease ATP23 homolog', 'ATP23 metallopeptidase and ATP synthase assembly factor homolog', 'KUB3', 'Ku70-binding protein 3', 'XRCC6-binding protein 1']"
616,Q8WVC6,"['DCAKD', '-', 'Dephospho-CoA kinase domain-containing protein', 'dephospho-CoA kinase domain containing']"
617,P56134,"['ATP synthase subunit f, mitochondrial', 'ATP synthase membrane subunit f', 'ATP5MF', 'ATP5J2', 'ATP5JL']"
618,Q9BWM7,"['SFX3', 'sideroflexin 3', 'SFXN3', 'Sideroflexin-3', 'BA108L7.2', 'SLC56A3']"
619,Q9UDR5,"['SDH', 'LORSDH', 'EC 1.5.1.9', 'Alpha-aminoadipic semialdehyde synthase, mitochondrial', 'LOR', 'LKRSDH', 'AASS', 'Lysine ketoglutarate reductase', 'aminoadipate-semialdehyde synthase', 'Saccharopine dehydrogenase', 'LKR', 'LKR/SDH', 'EC 1.5.1.8']"
620,Q9NR28,"['SMAC', 'DIABLO', 'DFNA64', 'Diablo homolog, mitochondrial', 'diablo IAP-binding mitochondrial protein', 'Direct IAP-binding protein with low pI', 'Second mitochondria-derived activator of caspase', 'Smac']"
621,Q7Z4L0,"['COX8-3', 'Cytochrome c oxidase polypeptide 8 isoform 3', 'Cytochrome c oxidase subunit 8C, mitochondrial', 'COX8C', 'Cytochrome c oxidase subunit VIIIC', 'cytochrome c oxidase subunit 8C', 'COX VIII-3', 'Cytochrome c oxidase polypeptide VIII isoform 3', 'Cytochrome c oxidase subunit 8-3']"
622,Q9NR77,"['PXMP2', 'Peroxisomal membrane protein 2', 'MPV17L3', 'PMP22', 'peroxisomal membrane protein 2', '22 kDa peroxisomal membrane protein']"
623,Q9BYV1,"['AGXT2', 'D-AIBAT', 'Beta-ALAAT II', 'Beta-alanine-pyruvate aminotransferase', 'alanine--glyoxylate aminotransferase 2', 'DAIBAT', 'AGT2', 'BAIBA', 'Alanine--glyoxylate aminotransferase 2, mitochondrial', 'EC 2.6.1.40', 'EC 2.6.1.44', 'AGT 2', '(R)-3-amino-2-methylpropionate--pyruvate transaminase']"
624,Q9UI32,"['glutaminase 2', 'L-glutaminase', 'GLS2', 'Glutaminase liver isoform, mitochondrial', 'GA', 'L-glutamine amidohydrolase', 'hLGA', 'EC 3.5.1.2', 'GLS', 'LGA']"
625,Q9BUR5,"['Mic23', 'Apolipoprotein O', 'MICOS26', 'MICOS complex subunit MIC23', 'My025', 'FAM121B', 'APOO', 'MIC26', 'MICOS complex subunit MIC26', 'apolipoprotein O', 'Protein FAM121B']"
626,Q709F0,"['ACAD11', 'EC 1.3.8.-', 'ACAD-11', 'acyl-CoA dehydrogenase family member 11', 'Acyl-CoA dehydrogenase family member 11']"
627,A6NC05,"['chromosome 5 open reading frame 63', 'Glutaredoxin-like protein C5orf63', 'YDR286C', 'C5orf63']"
628,Q86XE5,"['DHDPSL', 'Probable 2-keto-4-hydroxyglutarate aldolase', 'DHDPS-like protein', 'Dihydrodipicolinate synthase-like', 'Protein 569272', 'Probable KHG-aldolase', 'C10orf65', 'DHDPS2', 'NPL2', '4-hydroxy-2-oxoglutarate aldolase, mitochondrial', '4-hydroxy-2-oxoglutarate aldolase 1', 'HP3', 'HOGA1', 'EC 4.1.3.16']"
629,Q6DKK2,"['tetratricopeptide repeat domain 19', 'TTC19', '2010204O13Rik', 'TPR repeat protein 19', 'MC3DN2', 'Tetratricopeptide repeat protein 19, mitochondrial']"
630,Q9NPE2,"['Neurite outgrowth-associated protein', 'Spinal cord-derived protein FI58G', 'Mesenchymal stem cell protein DSC92', 'Neugrin', 'NGRN', 'DSC92', 'neugrin, neurite outgrowth associated']"
631,Q8N3R3,"['T cell activation inhibitor, mitochondrial', 'T-cell activation inhibitor, mitochondrial', 'Tolerance associated gene-1 protein', 'C3orf23', 'TOAG1', 'TCAIM', 'TOAG-1']"
632,P23434,"['Lipoic acid-containing protein', 'glycine cleavage system protein H', 'GCE', 'GCSH', 'NKH', 'Glycine cleavage system H protein, mitochondrial']"
633,Q9NXA8,"['NAD-dependent protein deacylase sirtuin-5, mitochondrial', 'EC 2.3.1.-', 'SIRT5', 'Regulatory protein SIR2 homolog 5', 'SIR2L5', 'sirtuin 5', 'SIR2-like protein 5']"
634,Q8TD30,"['Alanine aminotransferase 2', 'ALT2', 'Glutamate pyruvate transaminase 2', 'GPT 2', 'Glutamic--pyruvic transaminase 2', 'GPT2', 'EC 2.6.1.2', 'MRT49', 'glutamic--pyruvic transaminase 2', 'Glutamic--alanine transaminase 2']"
635,Q96B49,"['Overexpressed breast tumor protein', 'TOMM6', 'TOM6', 'Mitochondrial import receptor subunit TOM6 homolog', 'OBTP', 'Translocase of outer membrane 6 kDa subunit homolog', 'translocase of outer mitochondrial membrane 6']"
636,Q96A26,"['Protein FAM162A', 'family with sequence similarity 162 member A', 'HGTD-P', 'Growth and transformation-dependent protein', 'E2-induced gene 5 protein', 'C3orf28', 'E2IG5', 'FAM162A']"
637,Q9NP58,"['EC 7.6.2.5', 'MTABC3', 'umat', 'ATP-binding cassette sub-family B member 6', 'ABC-type heme transporter ABCB6', 'Mt-ABC transporter 3', 'ATP binding cassette subfamily B member 6 (Langereis blood group)', 'ABCB6', 'P-glycoprotein-related protein', 'Ubiquitously-expressed mammalian ABC half transporter', 'ABC', 'PRP', 'LAN', 'Mitochondrial ABC transporter 3']"
638,Q9BQ69,"['EC 3.1.1.106', 'MACROD1', '[Protein ADP-ribosylglutamate] hydrolase MACROD1', 'ADP-ribose glycohydrolase MACROD1', '[Protein ADP-ribosylaspartate] hydrolase MACROD1', 'mono-ADP ribosylhydrolase 1', 'MACRO domain-containing protein 1', 'EC 3.2.2.-', 'Protein LRP16', 'O-acetyl-ADP-ribose deacetylase MACROD1', 'LRP16']"
639,Q16762,"['EC 2.8.1.1', 'Rhodanese', 'RDS', 'thiosulfate sulfurtransferase', 'TST', 'Thiosulfate sulfurtransferase']"
640,P00395,"['COI', 'EC 7.1.1.9', 'MTCO1', 'cytochrome c oxidase subunit I', 'MT-CO1', 'Cytochrome c oxidase subunit 1', 'Cytochrome c oxidase polypeptide I']"
641,Q9H019,"['MST116', 'Mitochondrial fission regulator 1-like', 'MSTP116', 'MTFR1L', 'mitochondrial fission regulator 1 like', 'FAM54B', 'HYST1888']"
642,Q9NRG7,"['C14orf124', 'EC 1.1.1.-', 'HCDI', 'SDR39U1', 'Epimerase family protein SDR39U1', 'short chain dehydrogenase/reductase family 39U member 1', 'Short-chain dehydrogenase/reductase family 39U member 1']"
643,Q9UI17,"['ME2GLYDH', 'DMGDH', 'Dimethylglycine dehydrogenase, mitochondrial', 'DMGDHD', 'dimethylglycine dehydrogenase', 'EC 1.5.8.4']"
644,O95258,"['UCP 5', 'Mitochondrial uncoupling protein 5', 'BMCP-1', 'solute carrier family 25 member 14', 'BMCP1', 'UCP5', 'Solute carrier family 25 member 14', 'SLC25A14', 'Brain mitochondrial carrier protein 1']"
645,Q96N28,"['SLMO1', 'Protein slowmo homolog 1', 'PRELI domain containing protein 3A', 'HFL-EDDG1', 'PRELI domain containing 3A', 'PRELID3A', 'C18orf43']"
646,Q9BSY4,"['Coiled-coil-helix-coiled-coil-helix domain-containing protein 5', 'MIC14', 'CHCHD5', 'CHTM1', 'C2orf9', 'coiled-coil-helix-coiled-coil-helix domain containing 5', 'MIX14']"
647,O94826,"['TOMM70A', 'TOMM70', 'Mitochondrial import receptor subunit TOM70', 'Translocase of outer mitochondrial membrane protein 70', 'translocase of outer mitochondrial membrane 70', 'Translocase of outer membrane 70 kDa subunit', 'Tom70', 'Mitochondrial precursor proteins import receptor']"
648,Q86X76,"['nitrilase 1', 'NIT1', '-', 'Nitrilase homolog 1', 'Deaminated glutathione amidase', 'dGSH amidase', 'EC 3.5.1.128']"
649,Q6P587,"['EC 4.1.1.112', 'Acylpyruvase FAHD1, mitochondrial', 'OAA decarboxylase', 'YisK-like protein', 'Oxaloacetate decarboxylase', 'EC 3.7.1.5', 'fumarylacetoacetate hydrolase domain containing 1', 'Fumarylacetoacetate hydrolase domain-containing protein 1', 'FAH domain-containing protein 1', 'FAHD1', 'YISKL', 'C16orf36']"
650,Q8NE86,"['mitochondrial calcium uniporter', 'HsMCU', 'C10orf42', 'MCU', 'CCDC109A', 'Coiled-coil domain-containing protein 109A', 'Calcium uniporter protein, mitochondrial']"
651,Q02318,"['Vitamin D(3) 25-hydroxylase', 'CP27', 'CYP27A1', 'CTX', 'Sterol 26-hydroxylase, mitochondrial', 'cytochrome P450 family 27 subfamily A member 1', '5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase', 'Cytochrome P-450C27/25', 'Sterol 27-hydroxylase', 'CYP27', 'Cytochrome P450 27', 'EC 1.14.15.15']"
652,P03891,"['MT-ND2', 'NADH-ubiquinone oxidoreductase chain 2', 'MTND2', 'EC 7.1.1.2', 'NADH dehydrogenase subunit 2']"
653,P03905,"['MT-ND4', 'EC 7.1.1.2', 'NADH dehydrogenase, subunit 4 (complex I)', 'MTND4', 'NADH dehydrogenase subunit 4', 'NADH-ubiquinone oxidoreductase chain 4']"
654,P03915,"['NADH-ubiquinone oxidoreductase chain 5', 'NADH dehydrogenase subunit 5', 'MTND5', 'EC 7.1.1.2', 'NADH dehydrogenase, subunit 5 (complex I)', 'MT-ND5']"
655,Q14154,"['DAP3-binding cell death enhancer 1', 'DAP3-binding cell death enhancer 1 short form', 'DAP3 binding cell death enhancer 1', 'DELE1', 'Death ligand signal enhancer', 'DAP3-binding cell death enhancer 1, long form', 'DELE1(L)', 'DELE1(S)', 'DELE', 'KIAA0141', 'S-DELE1']"
656,Q53R41,"['FAST kinase domain-containing protein 1, mitochondrial', '-', 'FAST kinase domains 1', 'FASTKD1']"
657,Q92665,"['S31mt', 'IMOGN38', 'MRP-S31', 'MRPS31', '28S ribosomal protein S31, mitochondrial', 'mitochondrial ribosomal protein S31', 'Imogen 38', 'Mitochondrial small ribosomal subunit protein mS31']"
658,O75891,"['Cytosolic 10-formyltetrahydrofolate dehydrogenase', 'aldehyde dehydrogenase 1 family member L1', 'EC 1.5.1.6', 'Aldehyde dehydrogenase family 1 member L1', '10-fTHF', 'FTHFD', 'FDH', '10-FTHFDH', 'ALDH1L1']"
659,O75127,"['PTCD1', '-', 'Pentatricopeptide repeat-containing protein 1, mitochondrial', 'pentatricopeptide repeat domain 1']"
660,P55084,"['Trifunctional enzyme subunit beta, mitochondrial', 'hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta', 'TP-beta', 'MSTP029', 'EC 2.3.1.16', 'Acetyl-CoA acyltransferase', 'TP-BETA', 'Beta-ketothiolase', 'EC 2.3.1.155', 'MTPB', 'HADHB', '3-ketoacyl-CoA thiolase', 'ECHB']"
661,Q9H3H1,"['Isopentenyl-diphosphate:tRNA isopentenyltransferase', 'tRNA dimethylallyltransferase', 'IPTase', 'MOD5', 'IPPT', 'IPP transferase', 'tRNA isopentenyltransferase 1', 'GRO1', 'EC 2.5.1.75', 'IPT', 'hGRO1', 'TRIT1', 'COXPD35']"
662,Q9UJA2,"['CLS', 'cardiolipin synthase 1', 'dJ967N21.6', 'CRLS1', 'Protein GCD10 homolog', 'CLS1', 'EC 2.7.8.41', 'Cardiolipin synthase (CMP-forming)', 'C20orf155', 'GCD10']"
663,Q8IVS8,"['GLYCTK', 'HBEBP4', 'Glycerate kinase', 'HBEBP2', 'HBeAgBP4A', 'HBeAg-binding protein 4', 'EC 2.7.1.31', 'glycerate kinase']"
664,Q9H2D1,"['Mitochondrial folate transporter/carrier', 'MFTC', 'SLC25A32', 'RREI', 'Solute carrier family 25 member 32', 'solute carrier family 25 member 32', 'MFT']"
665,Q5JTZ9,"['Alanine--tRNA ligase, mitochondrial', 'Alanyl-tRNA synthetase', 'AARS2', 'AlaRS', 'COXPD8', 'MT-ALARS', 'MTALARS', 'LKENP', 'alanyl-tRNA synthetase 2, mitochondrial', 'EC 6.1.1.7', 'AARSL']"
666,Q9Y2C4,"['Endo G-like 1', 'EXOG', 'Endonuclease G-like 1', 'ENGL-a', 'ENGL-b', 'ENGL', 'ENGLA', 'ENGLB', 'ENDOGL2', 'exo/endonuclease G', 'EC 3.1.30.-', 'Nuclease EXOG, mitochondrial', 'ENDOGL1']"
667,Q9Y6H1,"['C7orf17', 'Coiled-coil-helix-coiled-coil-helix domain-containing protein 2', 'NS2TP', 'Aging-associated gene 10 protein', 'HCV NS2 trans-regulated protein', 'PARK22', 'MNRR1', 'MIX17B', 'coiled-coil-helix-coiled-coil-helix domain containing 2', 'CHCHD2']"
668,O15229,"['dJ317G22.1', 'KMO', 'kynurenine 3-monooxygenase', 'EC 1.14.13.9', 'Kynurenine 3-monooxygenase', 'Kynurenine 3-hydroxylase']"
669,Q8TD22,"['sideroflexin 5', 'SLC56A5', 'Sideroflexin-5', 'BBG-TCC', 'SFXN5']"
670,Q9BQ52,"['EC 3.1.26.11', 'COXPD17', 'elaC ribonuclease Z 2', 'tRNase Z 2', 'ELAC2', 'tRNA 3 endonuclease 2', 'ELC2', 'HPC2', 'Zinc phosphodiesterase ELAC protein 2', 'RNase Z 2', 'ElaC homolog protein 2', 'Heredity prostate cancer protein 2', 'Ribonuclease Z 2']"
671,P07203,"['GSHPx-1', 'glutathione peroxidase 1', 'GPx-1', 'Cellular glutathione peroxidase', 'GSHPX1', 'GPX1', 'GPXD', 'Glutathione peroxidase 1', 'EC 1.11.1.9']"
672,Q92523,"['Carnitine O-palmitoyltransferase 1, muscle isoform', 'EC 2.3.1.21', 'MCCPT1', 'CPTI', 'Carnitine palmitoyltransferase 1B', 'CPT I', 'Carnitine O-palmitoyltransferase I, muscle isoform', 'M-CPT1', 'Carnitine palmitoyltransferase I-like protein', 'carnitine palmitoyltransferase 1B', 'CPT1B', 'MCPT1', 'CPTI-M', 'CPT1-M', 'CPT1M']"
673,Q9Y3D6,"['FIS1 homolog', 'Mitochondrial fission 1 protein', 'CGI-135', 'FIS1', 'Tetratricopeptide repeat protein 11', 'fission, mitochondrial 1', 'hFis1', 'TTC11', 'TPR repeat protein 11']"
674,Q9Y255,"['25 kDa protein of relevant evolutionary and lymphoid interest', 'PX19', 'SBBI12', 'Px19-like protein', 'PRELI domain containing 1', 'CGI-106', 'PRELID1', 'PRELI domain-containing protein 1, mitochondrial', 'PRELI']"
675,P55916,"['Solute carrier family 25 member 9', 'SLC25A9', 'Mitochondrial uncoupling protein 3', 'UCP 3', 'UCP3', 'uncoupling protein 3']"
676,O95847,"['UCP 4', 'solute carrier family 25 member 27', 'Mitochondrial uncoupling protein 4', 'SLC25A27', 'UCP4', 'Solute carrier family 25 member 27']"
677,Q8TBP6,"['SLC25A40', 'MCFP', 'solute carrier family 25 member 40', 'Solute carrier family 25 member 40', 'Mitochondrial carrier family protein']"
678,Q9BV35,"['SCaMC-3', 'MCSC2', 'APC2', 'SLC25A23', 'Small calcium-binding mitochondrial carrier protein 3', 'Calcium-binding mitochondrial carrier protein SCaMC-3', 'solute carrier family 25 member 23', 'Mitochondrial ATP-Mg/Pi carrier protein 2', 'Mitochondrial Ca(2+)-dependent solute carrier protein 2', 'Solute carrier family 25 member 23']"
679,Q9Y5R4,"['HemK methyltransferase family member 1', 'M.HsaHemKP', 'MTQ1', 'HEMK1', 'EC 2.1.1.297', 'HEMK', 'MTRF1L release factor glutamine methyltransferase', 'MPRMC']"
680,Q96CQ1,"['SLC25A36', 'PNC2', 'solute carrier family 25 member 36', 'Solute carrier family 25 member 36']"
681,Q96E52,"['ZMPOMA1', 'DAB1', 'OMA1 zinc metallopeptidase', 'EC 3.4.24.-', 'Metalloendopeptidase OMA1, mitochondrial', 'Metalloprotease-related protein 1', 'Overlapping with the m-AAA protease 1 homolog', '2010001O09Rik', 'peptidase', 'OMA1', 'MPRP-1', 'MPRP1', 'YKR087C']"
682,Q2VYF4,"['Leucine zipper-EF-hand-containing transmembrane protein 1-like', 'LETM2', 'leucine zipper and EF-hand containing transmembrane protein 2', 'LETM1 and EF-hand domain-containing protein 2', 'LETM1 domain-containing protein LETM2, mitochondrial', 'SLC55A2']"
683,Q96LJ7,"['SDR19C1', 'EC 1.1.-.-', 'dehydrogenase/reductase 1', 'Dehydrogenase/reductase SDR family member 1', 'DHRS1', 'Short chain dehydrogenase/reductase family 19C member 1']"
684,P27105,"['Erythrocyte membrane protein band 7.2', 'EPB72', 'STOM', 'EPB7', 'Erythrocyte band 7 integral membrane protein', 'Stomatin', 'stomatin', 'Protein 7.2b', 'BND7']"
685,Q9NRN9,"['HSPC133', 'rRNA N6-adenosine-methyltransferase METTL5', 'Methyltransferase-like protein 5', 'EC 2.1.1.-', 'MRT72', 'METTL5', 'methyltransferase like 5']"
686,Q9UJ68,"['PMSR', 'Protein-methionine-S-oxide reductase', 'Peptide Met(O) reductase', 'EC 1.8.4.11', 'Peptide-methionine (S)-S-oxide reductase', 'MSRA', 'methionine sulfoxide reductase A', 'Mitochondrial peptide methionine sulfoxide reductase']"
687,Q8WV74,"['NUDT8', 'nudix hydrolase 8', '-', 'Nucleoside diphosphate-linked moiety X motif 8', 'EC 3.6.1.-', 'Nudix motif 8']"
688,Q96T66,"['NMN adenylyltransferase 3', 'NMN/NaMN adenylyltransferase 3', 'Nicotinate-nucleotide adenylyltransferase 3', 'EC 2.7.7.1', 'PNAT3', 'Nicotinamide-nucleotide adenylyltransferase 3', 'Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3', 'nicotinamide nucleotide adenylyltransferase 3', 'EC 2.7.7.18', 'Pyridine nucleotide adenylyltransferase 3', 'FKSG76', 'NaMN adenylyltransferase 3', 'NMNAT3', 'PNAT-3']"
689,Q96DW6,"['Solute carrier family 25 member 38', 'Mitochondrial glycine transporter', 'SIDBA2', 'Mitochondrial glycine transporter GlyC', 'solute carrier family 25 member 38', 'SLC25A38']"
690,Q567V2,"['FKSG24', 'MPV17L2', 'Mpv17-like protein 2', 'MPV17 mitochondrial inner membrane protein like 2']"
691,P53396,"['ACL', 'CLATP', 'ACLY', 'ATP-citrate (pro-S-)-lyase', 'ATPCL', 'EC 2.3.3.8', 'ATP citrate lyase', 'Citrate cleavage enzyme', 'ATP-citrate synthase']"
692,Q9UBJ2,"['ALDRP', 'Adrenoleukodystrophy-related protein', 'ATP binding cassette subfamily D member 2', 'ALDL1', 'Adrenoleukodystrophy-like 1', 'ABC39', 'ATP-binding cassette sub-family D member 2', 'ALDR', 'ABCD2', 'hALDR']"
693,Q8NFF5,"['LSMFLAD', 'PP591', 'FLAD1', 'Flavin adenine dinucleotide synthase', 'Molybdenum cofactor biosynthesis protein-like region', 'FAD synthase', 'FAD1', 'FAD synthase region', 'FMN adenylyltransferase', 'flavin adenine dinucleotide synthetase 1', 'EC 2.7.7.2', 'FAD pyrophosphorylase', 'FADS']"
694,Q9Y234,"['Lipoyl ligase', 'LIPT1D', 'lipoyltransferase 1', 'EC 2.3.1.-', 'Lipoate-protein ligase', 'Lipoate biosynthesis protein', 'LIPT1', 'Lipoyltransferase 1, mitochondrial']"
695,Q7Z3D6,"['C14orf159', 'EC 4.2.1.48', 'DGLUCY', 'D-glutamate cyclase', 'D-glutamate cyclase, mitochondrial']"
696,Q16822,"['PEPCK2', 'EC 4.1.1.32', 'Phosphoenolpyruvate carboxykinase [GTP], mitochondrial', 'phosphoenolpyruvate carboxykinase 2, mitochondrial', 'PEPCK-M', 'PCK2', 'PEPCK']"
697,Q4G0N4,"['NAD kinase 2, mitochondrial', 'NAD kinase domain-containing protein 1, mitochondrial', 'Mitochondrial NAD kinase', 'DECRD', 'MNADK', 'C5orf33', 'NADK2', 'EC 2.7.1.23', 'NADKD1']"
698,P25325,"['mercaptopyruvate sulfurtransferase', 'MPST', '3-mercaptopyruvate sulfurtransferase', 'TST2', 'MST', 'EC 2.8.1.2', 'TUM1']"
699,Q86X67,"['Nudix motif 13', 'NUDT13', 'EC 3.6.1.22', '-', 'Protein KiSS-16', 'Nucleoside diphosphate-linked moiety X motif 13', 'nudix hydrolase 13', 'NAD(P)H pyrophosphatase NUDT13, mitochondrial']"
700,Q13085,"['EC 6.4.1.2', 'ACACA', 'ACC1', 'ACACAD', 'ACC', 'ACAC', 'Acetyl-Coenzyme A carboxylase alpha', 'Acetyl-CoA carboxylase 1', 'ACC-alpha', 'acetyl-CoA carboxylase alpha', 'ACCA']"
701,P80404,"['ABAT', 'Gamma-amino-N-butyrate transaminase', 'L-AIBAT', 'GABA-T', 'EC 2.6.1.22', '4-aminobutyrate aminotransferase, mitochondrial', 'GABA-AT', 'GABA transaminase', 'EC 2.6.1.19', 'GABA aminotransferase', '4-aminobutyrate aminotransferase', '(S)-3-amino-2-methylpropionate transaminase', 'GABAT', 'NPD009']"
702,P54868,"['3-hydroxy-3-methylglutaryl coenzyme A synthase', '-', 'EC 2.3.3.10', 'Hydroxymethylglutaryl-CoA synthase, mitochondrial', 'HMGCS2', 'HMG-CoA synthase', '3-hydroxy-3-methylglutaryl-CoA synthase 2']"
703,P51649,"['SSADH', 'EC 1.2.1.24', 'Succinate-semialdehyde dehydrogenase, mitochondrial', 'NAD(+)-dependent succinic semialdehyde dehydrogenase', 'aldehyde dehydrogenase 5 family member A1', 'Aldehyde dehydrogenase family 5 member A1', 'ALDH5A1', 'SSDH']"
704,P12532,"['CKMT1B', 'Ubiquitous mitochondrial creatine kinase', 'creatine kinase, mitochondrial 1A', 'mia-CK', 'UMTCK', 'CKMT1A', 'CKMT1', 'U-MtCK', 'Creatine kinase U-type, mitochondrial', 'EC 2.7.3.2', 'creatine kinase, mitochondrial 1B', 'Acidic-type mitochondrial creatine kinase', 'Mia-CK', 'CKMT']"
705,Q9UG56,"['dJ858B16.2', 'Phosphatidylserine decarboxylase beta chain', 'DJ858B16', 'PSD', 'EC 4.1.1.65', 'phosphatidylserine decarboxylase', 'PSSC', 'PSDC', 'Phosphatidylserine decarboxylase alpha chain', 'PISD', 'Phosphatidylserine decarboxylase proenzyme, mitochondrial', 'LIBF']"
706,O95168,"['NDUFB4', 'CI-B15', 'B15', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4', 'NADH:ubiquinone oxidoreductase subunit B4', 'Complex I-B15', 'NADH-ubiquinone oxidoreductase B15 subunit']"
707,O14957,"['QCR10', 'Cytochrome b-c1 complex subunit 10', 'UQCR', 'Complex III subunit XI', 'ubiquinol-cytochrome c reductase, complex III subunit XI', '0710008D09Rik', 'Ubiquinol-cytochrome c reductase complex 6.4 kDa protein', 'UQCR11', 'Complex III subunit 10']"
708,Q96C01,"['family with sequence similarity 136 member A', 'FAM136A', '-', 'Protein FAM136A']"
709,Q8N4H5,"['C9orf105', 'Tom5', 'Mitochondrial import receptor subunit TOM5 homolog', 'bA613M10.3', 'translocase of outer mitochondrial membrane 5', 'TOMM5']"
710,O43464,"['EC 3.4.21.108', 'High temperature requirement protein A2', 'HtrA2', 'Serine protease 25', 'PARK13', 'HtrA serine peptidase 2', 'PRSS25', 'Serine proteinase OMI', 'Serine protease HTRA2, mitochondrial', 'HTRA2', 'Omi stress-regulated endoprotease', 'MGCA8', 'OMI']"
711,O15239,"['ZNF183', 'Complex I-MWFE', 'NDUFA1', 'NADH:ubiquinone oxidoreductase subunit A1', 'CI-MWFE', 'NADH-ubiquinone oxidoreductase MWFE subunit', 'MWFE', 'MC1DN12', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1']"
712,P00156,"['MT-CYB', 'MTCYB', 'Complex III subunit III', 'Ubiquinol-cytochrome-c reductase complex cytochrome b subunit', 'Complex III subunit 3', 'Cytochrome b-c1 complex subunit 3', 'cytochrome b', 'Cytochrome b']"
713,Q16774,"['GUK1', 'GMP kinase', 'Guanylate kinase', 'guanylate kinase 1', 'Guanylate kinase 1', 'EC 2.7.4.8', 'GMK']"
714,Q8N465,"['EC 1.1.99.-', 'D-2-hydroxyglutarate dehydrogenase, mitochondrial', 'D2HGDH', 'D-2-hydroxyglutarate dehydrogenase', 'D2HGD']"
715,Q9H6K4,"['outer mitochondrial membrane lipid metabolism regulator OPA3', 'OPA3', 'MGA3', 'Optic atrophy 3 protein']"
