,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
170,Defective HLCS causes multiple carboxylase deficiency,Regulation of lipid metabolism by PPARalpha,,HDL assembly,,,Metabolism of amino acids and derivatives,,,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Transcriptional regulation by RUNX3,Degradation of cysteine and homocysteine,Antigen processing: Ubiquitination & Proteasome degradation,Aggrephagy,ABC transporter disorders,Mitochondrial translation termination,NTRK3 as a dependence receptor,Branched-chain amino acid catabolism,Class I peroxisomal membrane protein import,N/A
171,Defects in biotin (Btn) metabolism,Regulation of HSF1-mediated heat shock response,,PKA activation,,,Scavenging by Class A Receptors,,,,Apoptotic execution phase,Sulfur amino acid metabolism,Class I MHC mediated antigen processing & presentation,Synthesis of PE,Disorders of transmembrane transporters,Mitochondrial translation initiation,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,Agmatine biosynthesis,Defective ABCD1 causes ALD,N/A
172,Biotin transport and metabolism,Cellular response to heat stress,,CREB1 phosphorylation through the activation of Adenylate Cyclase,,,Binding and Uptake of Ligands by Scavenger Receptors,,,,Selective autophagy,Mitochondrial iron-sulfur cluster biogenesis,Pregnenolone biosynthesis,Conjugation of salicylate with glycine,The NLRP1 inflammasome,"Activation, myristolyation of BID and translocation to mitochondria",Signaling by NTRK3 (TRKC),Metabolism of polyamines,ABC transporters in lipid homeostasis,N/A
173,Defects in vitamin and cofactor metabolism,Synthesis of PE,,Triglyceride metabolism,,,Golgi Associated Vesicle Biogenesis,,,,Macroautophagy,Beta-oxidation of very long chain fatty acids,Metabolism of steroid hormones,Amino Acid conjugation,Inflammasomes,Regulation of the apoptosome activity,TP53 Regulates Transcription of Cell Death Genes,Coenzyme A biosynthesis,Beta-oxidation of very long chain fatty acids,N/A
174,Metabolism of water-soluble vitamins and cofactors,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,,PKA-mediated phosphorylation of CREB,,,trans-Golgi Network Vesicle Budding,,,,Autophagy,Transcription from mitochondrial promoters,Threonine catabolism,Conjugation of carboxylic acids,Peptide ligand-binding receptors,Activation and oligomerization of BAK protein,TP53 Regulates Transcription of Cell Cycle Genes,Vitamin B5 (pantothenate) metabolism,"Activation, translocation and oligomerization of BAX",N/A
175,Metabolism of vitamins and cofactors,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,,Triglyceride catabolism,,,Membrane Trafficking,,,,Transmission across Chemical Synapses,Mitochondrial transcription initiation,Infectious disease,Conjugation of benzoate with glycine,Class A/1 (Rhodopsin-like receptors),Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Signaling by NTRKs,cGMP effects,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,N/A
176,Threonine catabolism,Miro GTPase Cycle,,AURKA Activation by TPX2,,,Vesicle-mediated transport,,,,Neuronal System,Glyoxylate metabolism and glycine degradation,Ion homeostasis,Translation,GPCR ligand binding,Extra-nuclear estrogen signaling,Transcriptional regulation by RUNX2,Nitric oxide stimulates guanylate cyclase,NTRK3 as a dependence receptor,N/A
177,Pyruvate metabolism and Citric Acid (TCA) cycle,RHOT2 GTPase cycle,,Glucagon signaling in metabolic regulation,,,,,,,Formation of apoptosome,Regulation of pyruvate dehydrogenase (PDH) complex,Cardiac conduction,Signaling by GPCR,Electron transport from NADPH to Ferredoxin,Cytochrome P450 - arranged by substrate type,Vitamin B2 (riboflavin) metabolism,G alpha (s) signalling events,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,N/A
178,Citric acid cycle (TCA cycle),Factors involved in megakaryocyte development and platelet production,,Recruitment of NuMA to mitotic centrosomes,,,,,,,Caspase-mediated cleavage of cytoskeletal proteins,Mitochondrial calcium ion transport,Muscle contraction,Josephin domain DUBs,Apoptosis induced DNA fragmentation,Regulation of Apoptosis,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Platelet homeostasis,Signaling by NTRK3 (TRKC),N/A
179,Metabolic disorders of biological oxidation enzymes,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,ROBO receptors bind AKAP5,,,,,,,Apoptotic cleavage of cellular proteins,ABC-family proteins mediated transport,ABC-family proteins mediated transport,Amyloid fiber formation,Stimulation of the cell death response by PAK-2p34,Mitochondrial iron-sulfur cluster biogenesis,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,GPCR downstream signalling,TP53 Regulates Transcription of Cell Death Genes,N/A
180,Metabolism of serotonin,FOXO-mediated transcription of cell death genes,,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,,,,,,,Lysine catabolism,Mitochondrial ABC transporters,Ubiquinol biosynthesis,Mitochondrial iron-sulfur cluster biogenesis,NADE modulates death signalling,Glucose metabolism,Degradation of cysteine and homocysteine,Ub-specific processing proteases,TP53 Regulates Transcription of Cell Cycle Genes,N/A
181,Defective MAOA causes BRUNS,Aggrephagy,,Vasopressin regulates renal water homeostasis via Aquaporins,,,,,,,SUMOylation of transcription cofactors,Defects in vitamin and cofactor metabolism,Metabolism of cofactors,GPCR downstream signalling,Apoptotic cleavage of cell adhesion  proteins,Tryptophan catabolism,Sulfur amino acid metabolism,Deubiquitination,Signaling by NTRKs,N/A
182,Serotonin clearance from the synaptic cleft,Josephin domain DUBs,,Rap1 signalling,,,,,,,SUMO E3 ligases SUMOylate target proteins,ABC transporter disorders,Metabolic disorders of biological oxidation enzymes,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Signaling by Hippo,Intracellular signaling by second messengers,Formation of ATP by chemiosmotic coupling,Post-translational protein modification,Transcriptional regulation by RUNX2,N/A
183,Enzymatic degradation of Dopamine by monoamine oxidase,Amyloid fiber formation,,Plasma lipoprotein assembly,,,,,,,SUMOylation,Disorders of transmembrane transporters,Glucose metabolism,SLC-mediated transmembrane transport,Degradation of the extracellular matrix,Endogenous sterols,DARPP-32 events,Choline catabolism,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,N/A
184,Enzymatic degradation of dopamine by COMT,Retinoid metabolism and transport,,Aquaporin-mediated transport,,,,,,,Glucose metabolism,Biosynthesis of DHA-derived SPMs,Metabolism of carbohydrates,Integration of energy metabolism,Other interleukin signaling,Nuclear events stimulated by ALK signaling in cancer,"Interleukin-3, Interleukin-5 and GM-CSF signaling",Heme biosynthesis,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,N/A
185,Neurotransmitter clearance,Metabolism of fat-soluble vitamins,,Glycolysis,,,,,,,Metabolism of carbohydrates,Biosynthesis of specialized proresolving mediators (SPMs),FOXO-mediated transcription of cell death genes,Cristae formation,Extracellular matrix organization,Signaling by ALK fusions and activated point mutants,Opioid Signalling,Metabolism of porphyrins,Extra-nuclear estrogen signaling,N/A
186,Dopamine clearance from the synaptic cleft,Visual phototransduction,,Degradation of GLI1 by the proteasome,,,,,,,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Defective ABCB6 causes MCOPCB7,NOD1/2 Signaling Pathway,Glutathione conjugation,Cristae formation,Signaling by ALK in cancer,G alpha (i) signalling events,Lysine catabolism,Estrogen-dependent gene expression,N/A
187,Norepinephrine Neurotransmitter Release Cycle,Sensory Perception,,RET signaling,,,,,,,Gluconeogenesis,Sulfide oxidation to sulfate,The fatty acid cycling model,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,Beta-oxidation of pristanoyl-CoA,Sulfide oxidation to sulfate,Diseases of Base Excision Repair,Mitochondrial Fatty Acid Beta-Oxidation,ESR-mediated signaling,N/A
188,Neurotransmitter release cycle,Metabolism of serotonin,,Recruitment of mitotic centrosome proteins and complexes,,,,,,,Signaling by Receptor Tyrosine Kinases,Choline catabolism,The proton buffering model,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Carnitine metabolism,Gluconeogenesis,Defective Base Excision Repair Associated with MUTYH,Defective HLCS causes multiple carboxylase deficiency,Beta-oxidation of pristanoyl-CoA,N/A
189,Transmission across Chemical Synapses,Serotonin clearance from the synaptic cleft,,Loss of Nlp from mitotic centrosomes,,,,,,,Class I peroxisomal membrane protein import,Metabolism of cofactors,Mitochondrial Uncoupling,Interactions of Vpr with host cellular proteins,Mitochondrial ABC transporters,AKT phosphorylates targets in the cytosol,Defective MUTYH substrate processing,Defects in biotin (Btn) metabolism,Josephin domain DUBs,N/A
190,Neuronal System,Ethanol oxidation,,Anchoring of the basal body to the plasma membrane,,,,,,,Glutathione conjugation,Biosynthesis of E-series 18(R)-resolvins,Pyruvate metabolism,"Transport of vitamins, nucleosides, and related molecules",Defective ABCB6 causes MCOPCB7,Constitutive Signaling by AKT1 E17K in Cancer,Defective MUTYH substrate binding,Biotin transport and metabolism,Amyloid fiber formation,N/A
191,,Phase I - Functionalization of compounds,,Loss of proteins required for interphase microtubule organization from the centrosome,,,,,,,NTRK3 as a dependence receptor,Biosynthesis of aspirin-triggered D-series resolvins,Gluconeogenesis,Host Interactions of HIV factors,Mitochondrial translation elongation,PI3K/AKT Signaling in Cancer,Recognition and association of DNA glycosylase with site containing an affected purine,Defects in vitamin and cofactor metabolism,Activation of gene expression by SREBF (SREBP),N/A
192,,Biological oxidations,,Calmodulin induced events,,,,,,,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,Biosynthesis of E-series 18(S)-resolvins,ABC transporter disorders,HIV Infection,Mitochondrial translation,PIP3 activates AKT signaling,Depurination,Propionyl-CoA catabolism,Regulation of cholesterol biosynthesis by SREBP (SREBF),N/A
193,,Neurotransmitter clearance,,Centrosome maturation,,,,,,,Signaling by NTRK3 (TRKC),Biosynthesis of D-series resolvins,Disorders of transmembrane transporters,Influenza Virus Induced Apoptosis,Propionyl-CoA catabolism,Biosynthesis of DHA-derived SPMs,Cleavage of the damaged purine,Acyl chain remodelling of PE,Diseases of metabolism,N/A
194,,Transmission across Chemical Synapses,,CaM pathway,,,,,,,TP53 Regulates Transcription of Cell Cycle Genes,Biosynthesis of EPA-derived SPMs,Processing of SMDT1,Influenza Infection,Defects in cobalamin (B12) metabolism,Biosynthesis of specialized proresolving mediators (SPMs),AKT phosphorylates targets in the cytosol,Acyl chain remodelling of PC,Sulfide oxidation to sulfate,N/A
195,,Neuronal System,,Degradation of GLI2 by the proteasome,,,,,,,Signaling by NTRKs,Glycerophospholipid biosynthesis,Biosynthesis of E-series 18(R)-resolvins,Biosynthesis of DHA-derived SPMs,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Vitamin B5 (pantothenate) metabolism,Constitutive Signaling by AKT1 E17K in Cancer,Signaling by BRAF and RAF1 fusions,Retinoid metabolism and transport,N/A
196,,Pregnenolone biosynthesis,,GLI3 is processed to GLI3R by the proteasome,,,,,,,Transcriptional regulation by RUNX2,Phospholipid metabolism,Biosynthesis of aspirin-triggered D-series resolvins,Biosynthesis of specialized proresolving mediators (SPMs),Mitochondrial translation termination,Biosynthesis of E-series 18(R)-resolvins,PI3K/AKT Signaling in Cancer,Oncogenic MAPK signaling,Metabolism of fat-soluble vitamins,N/A
197,,Metabolism of steroid hormones,,Ca-dependent events,,,,,,,Aggrephagy,Defective HLCS causes multiple carboxylase deficiency,Biosynthesis of E-series 18(S)-resolvins,Regulation of pyruvate dehydrogenase (PDH) complex,Mitochondrial translation initiation,Biosynthesis of aspirin-triggered D-series resolvins,PIP3 activates AKT signaling,Diseases of signal transduction by growth factor receptors and second messengers,Visual phototransduction,N/A
198,,TYSND1 cleaves peroxisomal proteins,,CD209 (DC-SIGN) signaling,,,,,,,Oncogenic MAPK signaling,Defects in biotin (Btn) metabolism,Biosynthesis of D-series resolvins,Intracellular signaling by second messengers,Processing of SMDT1,Biosynthesis of E-series 18(S)-resolvins,Diseases of signal transduction by growth factor receptors and second messengers,Neutrophil degranulation,Sensory Perception,N/A
199,,alpha-linolenic acid (ALA) metabolism,,DAG and IP3 signaling,,,,,,,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Biotin transport and metabolism,Biosynthesis of EPA-derived SPMs,Biosynthesis of E-series 18(R)-resolvins,Glutathione conjugation,Biosynthesis of D-series resolvins,Transcription from mitochondrial promoters,Innate Immune System,Glutamate Neurotransmitter Release Cycle,N/A
200,,Peroxisomal lipid metabolism,,ADORA2B mediated anti-inflammatory cytokines production,,,,,,,Biosynthesis of E-series 18(R)-resolvins,Intracellular signaling by second messengers,Biosynthesis of DHA-derived SPMs,Biosynthesis of aspirin-triggered D-series resolvins,Post-translational protein modification,Biosynthesis of EPA-derived SPMs,Mitochondrial transcription initiation,Receptor Mediated Mitophagy,CLEC7A (Dectin-1) induces NFAT activation,N/A
201,,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,,Integration of energy metabolism,,,,,,,Biosynthesis of aspirin-triggered D-series resolvins,Lysine catabolism,Biosynthesis of specialized proresolving mediators (SPMs),Biosynthesis of E-series 18(S)-resolvins,Ubiquinol biosynthesis,NRAGE signals death through JNK,alpha-linolenic acid (ALA) metabolism,,Ion homeostasis,N/A
202,,Beta-oxidation of very long chain fatty acids,,Hedgehog 'off' state,,,,,,,Biosynthesis of E-series 18(S)-resolvins,Cytochrome P450 - arranged by substrate type,Cytochrome P450 - arranged by substrate type,Biosynthesis of D-series resolvins,Regulation of the apoptosome activity,Defective CYP11A1 causes AICSR,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,,Cardiac conduction,N/A
203,,Antigen processing: Ubiquitination & Proteasome degradation,,PLC beta mediated events,,,,,,,Biosynthesis of D-series resolvins,AKT phosphorylates targets in the cytosol,alpha-linolenic acid (ALA) metabolism,Biosynthesis of EPA-derived SPMs,Metabolism of nucleotides,Electron transport from NADPH to Ferredoxin,Linoleic acid (LA) metabolism,,VEGFR2 mediated cell proliferation,N/A
204,,Class I MHC mediated antigen processing & presentation,,FCGR3A-mediated IL10 synthesis,,,,,,,Biosynthesis of EPA-derived SPMs,Constitutive Signaling by AKT1 E17K in Cancer,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Metabolism of RNA,Deubiquitination,Neurotransmitter receptors and postsynaptic signal transmission,ChREBP activates metabolic gene expression,,DAG and IP3 signaling,N/A
205,,Adaptive Immune System,,G-protein mediated events,,,,,,,Biosynthesis of DHA-derived SPMs,PI3K/AKT Signaling in Cancer,Ub-specific processing proteases,Defective MAOA causes BRUNS,Defective MMAA causes methylmalonic aciduria type cblA,Pyruvate metabolism,Activation of gene expression by SREBF (SREBP),,FCERI mediated Ca+2 mobilization,N/A
206,,Acyl chain remodeling of CL,,Mitotic Prometaphase,,,,,,,Biosynthesis of specialized proresolving mediators (SPMs),PIP3 activates AKT signaling,Glycerophospholipid biosynthesis,Norepinephrine Neurotransmitter Release Cycle,Defective MUT causes methylmalonic aciduria mut type,Metabolism of cofactors,Regulation of cholesterol biosynthesis by SREBP (SREBF),,PLC beta mediated events,N/A
207,,,,Post NMDA receptor activation events,,,,,,,Branched-chain amino acid catabolism,Glutathione conjugation,Phospholipid metabolism,"Activation, myristolyation of BID and translocation to mitochondria",Synthesis of PE,Glutamate Neurotransmitter Release Cycle,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,,FCGR3A-mediated IL10 synthesis,N/A
208,,,,Regulation of insulin secretion,,,,,,,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,Integration of energy metabolism,Synthesis of bile acids and bile salts,Mitochondrial translation elongation,Ub-specific processing proteases,Peptide ligand-binding receptors,NR1H2 and NR1H3-mediated signaling,,G-protein mediated events,N/A
209,,,,"Plasma lipoprotein assembly, remodeling, and clearance",,,,,,,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,Processing of SMDT1,Bile acid and bile salt metabolism,Mitochondrial translation,Interconversion of nucleotide di- and triphosphates,Class A/1 (Rhodopsin-like receptors),Defective CYP11A1 causes AICSR,,Role of phospholipids in phagocytosis,N/A
210,,,,Regulation of PLK1 Activity at G2/M Transition,,,,,,,TYSND1 cleaves peroxisomal proteins,Metabolism of steroid hormones,Resolution of Abasic Sites (AP sites),tRNA modification in the mitochondrion,MAPK family signaling cascades,GPCR ligand binding,Electron transport from NADPH to Ferredoxin,,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,N/A
211,,,,Leishmania parasite growth and survival,,,,,,,Defective CYP27A1 causes CTX,ChREBP activates metabolic gene expression,Base Excision Repair,tRNA processing,Neurotransmitter clearance,Trafficking of GluR2-containing AMPA receptors,Metabolic disorders of biological oxidation enzymes,,Muscle contraction,N/A
212,,,,Anti-inflammatory response favouring Leishmania parasite infection,,,,,,,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Pregnenolone biosynthesis,DNA Repair,ChREBP activates metabolic gene expression,Biosynthesis of DHA-derived SPMs,Trafficking of AMPA receptors,Endogenous sterols,,Regulation of insulin secretion,N/A
213,,,,Signaling by Hedgehog,,,,,,,Miscellaneous transport and binding events,Ub-specific processing proteases,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Mitochondrial translation termination,Biosynthesis of specialized proresolving mediators (SPMs),"Glutamate binding, activation of AMPA receptors and synaptic plasticity",Cytochrome P450 - arranged by substrate type,,CLEC7A (Dectin-1) signaling,N/A
214,,,,Cilium Assembly,,,,,,,Defects in vitamin and cofactor metabolism,Glutamate and glutamine metabolism,Defects in vitamin and cofactor metabolism,Mitochondrial translation initiation,Synthesis of PC,Cell surface interactions at the vascular wall,Ethanol oxidation,,Leishmania parasite growth and survival,N/A
215,,,,Activation of NMDA receptors and postsynaptic events,,,,,,,Vitamin B5 (pantothenate) metabolism,Regulation of HSF1-mediated heat shock response,Transcription from mitochondrial promoters,rRNA processing in the mitochondrion,Activation and oligomerization of BAK protein,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,ABC-family proteins mediated transport,,Anti-inflammatory response favouring Leishmania parasite infection,N/A
216,,,,Signaling by ROBO receptors,,,,,,,Caspase activation via Dependence Receptors in the absence of ligand,Cellular response to heat stress,Mitochondrial transcription initiation,rRNA processing,Oncogenic MAPK signaling,NR1H2 and NR1H3-mediated signaling,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",,Signaling by the B Cell Receptor (BCR),N/A
217,,,,G2/M Transition,,,,,,,Mitochondrial calcium ion transport,Translation,Beta-oxidation of pristanoyl-CoA,Toll Like Receptor 4 (TLR4) Cascade,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Defects in cobalamin (B12) metabolism,Glutamate and glutamine metabolism,,Opioid Signalling,N/A
218,,,,Mitotic G2-G2/M phases,,,,,,,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,SLC-mediated transmembrane transport,Conjugation of salicylate with glycine,Toll-like Receptor Cascades,Synthesis of bile acids and bile salts,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Factors involved in megakaryocyte development and platelet production,,Fcgamma receptor (FCGR) dependent phagocytosis,N/A
219,,,,MAPK6/MAPK4 signaling,,,,,,,Ub-specific processing proteases,Beta-oxidation of pristanoyl-CoA,Amino Acid conjugation,Vitamin B5 (pantothenate) metabolism,Bile acid and bile salt metabolism,Diseases of carbohydrate metabolism,Cell Cycle,,C-type lectin receptors (CLRs),N/A
220,,,,MAPK family signaling cascades,,,,,,,Citric acid cycle (TCA cycle),Ubiquinol biosynthesis,Conjugation of carboxylic acids,Mitochondrial calcium ion transport,RAF activation,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Transport of inorganic cations/anions and amino acids/oligopeptides,,Intracellular signaling by second messengers,N/A
221,,,,Leishmania infection,,,,,,,Neurotransmitter release cycle,Carnitine metabolism,Conjugation of benzoate with glycine,Signaling by Retinoic Acid,Signaling downstream of RAS mutants,Signaling by Receptor Tyrosine Kinases,SLC-mediated transmembrane transport,,Leishmania infection,N/A
222,,,,Transmission across Chemical Synapses,,,,,,,Processing of SMDT1,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3","Signaling by Rho GTPases, Miro GTPases and RHOBTB3",tRNA processing in the mitochondrion,Paradoxical activation of RAF signaling by kinase inactive BRAF,Mitochondrial tRNA aminoacylation,Sulfide oxidation to sulfate,,G alpha (i) signalling events,N/A
223,,,,"Cell Cycle, Mitotic",,,,,,,Regulation by c-FLIP,Regulation of Apoptosis,Translation,Glycine degradation,Signaling by moderate kinase activity BRAF mutants,tRNA Aminoacylation,Phase II - Conjugation of compounds,,Fc epsilon receptor (FCERI) signaling,N/A
224,,,,VEGFA-VEGFR2 Pathway,,,,,,,Dimerization of procaspase-8,Metabolism of RNA,Displacement of DNA glycosylase by APEX1,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Signaling by RAS mutants,Ubiquinol biosynthesis,Defective HLCS causes multiple carboxylase deficiency,,VEGFA-VEGFR2 Pathway,N/A
225,,,,Regulation of MECP2 expression and activity,,,,,,,Caspase activation via Death Receptors in the presence of ligand,Conjugation of salicylate with glycine,Resolution of AP sites via the single-nucleotide replacement pathway,Regulation by c-FLIP,RAF/MAP kinase cascade,The NLRP1 inflammasome,Defects in biotin (Btn) metabolism,,GPCR downstream signalling,N/A
226,,,,Cell Cycle,,,,,,,TLR3-mediated TICAM1-dependent programmed cell death,Amino Acid conjugation,Beta-oxidation of very long chain fatty acids,Dimerization of procaspase-8,MAPK1/MAPK3 signaling,Inflammasomes,Biotin transport and metabolism,,Signaling by VEGF,N/A
227,,,,Signaling by VEGF,,,,,,,TNFR1-induced proapoptotic signaling,Conjugation of carboxylic acids,Glutamate and glutamine metabolism,Caspase activation via Death Receptors in the presence of ligand,Biosynthesis of E-series 18(R)-resolvins,Caspase activation via extrinsic apoptotic signalling pathway,Defects in vitamin and cofactor metabolism,,Metabolism of water-soluble vitamins and cofactors,N/A
228,,,,Adaptive Immune System,,,,,,,TRIF-mediated programmed cell death,Conjugation of benzoate with glycine,Defective HLCS causes multiple carboxylase deficiency,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,Biosynthesis of aspirin-triggered D-series resolvins,Caspase activation via Dependence Receptors in the absence of ligand,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,,ChREBP activates metabolic gene expression,N/A
229,,,,Signaling by Receptor Tyrosine Kinases,,,,,,,Microbial modulation of RIPK1-mediated regulated necrosis,Mitochondrial translation,Defects in biotin (Btn) metabolism,TLR3-mediated TICAM1-dependent programmed cell death,Biosynthesis of E-series 18(S)-resolvins,Metabolism of nucleotides,Unfolded Protein Response (UPR),,Resolution of AP sites via the single-nucleotide replacement pathway,N/A
230,,,,Neuronal System,,,,,,,TRAIL  signaling,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,Biotin transport and metabolism,TNFR1-induced proapoptotic signaling,Biosynthesis of D-series resolvins,NTRK3 as a dependence receptor,XBP1(S) activates chaperone genes,,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,N/A
231,,,,M Phase,,,,,,,FasL/ CD95L signaling,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Linoleic acid (LA) metabolism,TRIF-mediated programmed cell death,Biosynthesis of EPA-derived SPMs,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,IRE1alpha activates chaperones,,Resolution of Abasic Sites (AP sites),N/A
232,,,,Infectious disease,,,,,,,RIPK1-mediated regulated necrosis,Interactions of Vpr with host cellular proteins,Mitochondrial ABC transporters,Microbial modulation of RIPK1-mediated regulated necrosis,Creatine metabolism,Signaling by NTRK3 (TRKC),Miscellaneous transport and binding events,,PCNA-Dependent Long Patch Base Excision Repair,N/A
233,,,,Developmental Biology,,,,,,,Toll Like Receptor 3 (TLR3) Cascade,"Transport of vitamins, nucleosides, and related molecules",Defective ABCB6 causes MCOPCB7,TRAIL  signaling,"Activation, myristolyation of BID and translocation to mitochondria",TP53 Regulates Transcription of Cell Cycle Genes,Mitochondrial ABC transporters,,POLB-Dependent Long Patch Base Excision Repair,N/A
234,,,,Axon guidance,,,,,,,TRIF(TICAM1)-mediated TLR4 signaling ,Host Interactions of HIV factors,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,FasL/ CD95L signaling,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Signaling by NTRKs,Cytosolic iron-sulfur cluster assembly,,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,N/A
235,,,,Nervous system development,,,,,,,MyD88-independent TLR4 cascade ,HIV Infection,PCNA-Dependent Long Patch Base Excision Repair,RIPK1-mediated regulated necrosis,Amine Oxidase reactions,Transcriptional regulation by RUNX2,Mitochondrial calcium ion transport,,Base Excision Repair,N/A
236,,,,Neurotransmitter receptors and postsynaptic signal transmission,,,,,,,Regulation of TNFR1 signaling,Vitamins,POLB-Dependent Long Patch Base Excision Repair,Toll Like Receptor 3 (TLR3) Cascade,Enzymatic degradation of Dopamine by monoamine oxidase,Caspase-mediated cleavage of cytoskeletal proteins,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,N/A
237,,,,Transcriptional Regulation by MECP2,,,,,,,TNF signaling,Vitamin D (calciferol) metabolism,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,TRIF(TICAM1)-mediated TLR4 signaling ,Enzymatic degradation of dopamine by COMT,Apoptotic execution phase,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,,DNA Repair,N/A
238,,,,Synthesis of CL,,,,,,,Toll Like Receptor 4 (TLR4) Cascade,NOD1/2 Signaling Pathway,Glutathione conjugation,MyD88-independent TLR4 cascade ,Dopamine clearance from the synaptic cleft,Apoptotic cleavage of cellular proteins,Extra-nuclear estrogen signaling,,Metabolic disorders of biological oxidation enzymes,N/A
239,,,,Acyl chain remodelling of PG,,,,,,,Toll-like Receptor Cascades,Influenza Virus Induced Apoptosis,RUNX1 regulates estrogen receptor mediated transcription,Regulation of TNFR1 signaling,Iron uptake and transport,Apoptosis induced DNA fragmentation,Estrogen-dependent gene expression,,Metabolism of serotonin,N/A
240,,,,Regulation by c-FLIP,,,,,,,mitochondrial fatty acid beta-oxidation of saturated fatty acids,Influenza Infection,Transcriptional regulation by RUNX1,TNF signaling,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Stimulation of the cell death response by PAK-2p34,ESR-mediated signaling,,Defective MAOA causes BRUNS,N/A
241,,,,Dimerization of procaspase-8,,,,,,,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Defective CYP27B1 causes VDDR1A,Class I peroxisomal membrane protein import,AKT phosphorylates targets in the cytosol,Intracellular signaling by second messengers,NADE modulates death signalling,Loss of phosphorylation of MECP2 at T308,,Serotonin clearance from the synaptic cleft,N/A
242,,,,Caspase activation via Death Receptors in the presence of ligand,,,,,,,Regulation of pyruvate dehydrogenase (PDH) complex,Glucose metabolism,Interconversion of nucleotide di- and triphosphates,Constitutive Signaling by AKT1 E17K in Cancer,Defective CYP27A1 causes CTX,Apoptotic cleavage of cell adhesion  proteins,PKA-mediated phosphorylation of key metabolic factors,,Enzymatic degradation of Dopamine by monoamine oxidase,N/A
243,,,,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,,,,,,,Pyruvate metabolism,Metabolism of carbohydrates,Metabolism of nucleotides,PI3K/AKT Signaling in Cancer,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Signaling by Hippo,Disorders of Nervous System Development,,Enzymatic degradation of dopamine by COMT,N/A
244,,,,TLR3-mediated TICAM1-dependent programmed cell death,,,,,,,Signaling by Retinoic Acid,GPCR downstream signalling,Coenzyme A biosynthesis,PIP3 activates AKT signaling,Branched-chain amino acid catabolism,Degradation of the extracellular matrix,Disorders of Developmental Biology,,Neurotransmitter clearance,N/A
